,gerbilID,date_x,tt_name,folder_cellname_py,cell_name,nSpikes_x,mfr,peak,valley,peak_valley,spike_ratio,spike_width_ms,asymmetry,latency,isolation_distance,session,folder,gerbil,date_y,cell_id,folder_cell_id_matlab,nSpikes_y,IsolationDistance,IsoDistPCA,IsoDistPC1,IsoDistPeak,Notes
33,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_12,TT3_SS_12,16016,5.631348496297044,67.10462471228128,-89.05666850707345,156.16129321935472,0.7535047721547252,0.1875,-0.8158382273669809,0.375,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_12,000395_2018-03-01_TT3_SS_12,16016, 75.115643, 46.850637, 8.211588, 1.015655, 
34,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_13,TT3_SS_13,8893,3.12660408536371,61.196463371340634,-88.90242255770778,150.0988859290484,0.6883554082186811,0.1875,-1.0,0.28125,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_13,000395_2018-03-01_TT3_SS_13,8893, 62.931631, 29.231899, 5.707482, 0.636033, 
35,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_14,TT3_SS_14,2249,0.7914819787401395,50.962872084985435,-18.687738052374772,69.65061013736022,2.727075472813,0.3125,-1.0,0.46875,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_14,000395_2018-03-01_TT3_SS_14,2249, 20.683551, 9.089136, 1.336142, 0.539636, 
36,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_15,TT3_SS_15,3006,1.0574658460694175,69.61680689717488,-74.54556897637285,144.16237587354772,0.9338825614066996,0.65625,-1.0,0.125,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_15,000395_2018-03-01_TT3_SS_15,3006, 53.066068, 23.461337, 1.730353, 1.395128, 
37,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_16,TT3_SS_16,4411,1.551603206060363,129.67666100182063,-116.2199588656462,245.89661986746682,1.1157864988726316,0.21875,-0.8610363597099062,0.5,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_16,000395_2018-03-01_TT3_SS_16,4411, 38.381457, 18.331029, 3.984242, 3.245722, 
38,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_17,TT3_SS_17,17376,6.1090043827606255,30.035785764373887,-14.034455987447524,44.070241751821406,2.140146065600122,0.21875,-0.8855298503693052,0.53125,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_17,000395_2018-03-01_TT3_SS_17,17376, 32.793471, 14.634139, 3.438463, 2.539740, 
39,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_18,TT3_SS_18,15645,5.501095472223951,43.37312209575989,-20.430722784930932,63.803844880690825,2.122936254010091,0.5,0.08233440122279533,0.5,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_18,000395_2018-03-01_TT3_SS_18,15645, 18.702670, 7.560667, 0.727047, 1.044967, 
40,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_19,TT3_SS_19,66668,23.438854116091022,84.42794674012856,-92.26454192900849,176.69248866913705,0.9150638476598122,0.1875,-0.801882105412743,0.46875,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_19,000395_2018-03-01_TT3_SS_19,66668, 96.037038, 70.084530, 53.817573, 8.633784, 
41,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_20,TT3_SS_20,13742,4.831478371909218,64.27094719682867,-38.777059194252146,103.0480063910808,1.6574476902661934,0.25,-0.9771001529920816,0.5,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_20,000395_2018-03-01_TT3_SS_20,13742, 19.534030, 7.127414, 0.604635, 1.460564, 
42,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_21,TT3_SS_21,3911,1.3753939179525303,66.8086156953416,-56.56131535498204,123.36993105032364,1.1811715352807286,0.28125,-0.10456004886896644,0.34375,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_21,000395_2018-03-01_TT3_SS_21,3911, 31.527099, 6.871851, 0.605511, 1.709824, 
43,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_22,TT3_SS_22,3382,1.1891910898574167,92.61850907172844,-121.41170258752778,214.03021165925625,0.7628466374973875,0.28125,-0.8103479645988848,0.4375,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_22,000395_2018-03-01_TT3_SS_22,3382, 26.458325, 11.450898, 0.802886, 1.640890, 
44,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_23,TT3_SS_23,6805,2.392744902099638,68.30736459118337,-85.00729497479445,153.31465956597782,0.8035470910048038,0.1875,-1.0,0.1875,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_23,000395_2018-03-01_TT3_SS_23,6805, 61.757546, 29.805783, 2.530006, 0.543029, 
45,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_24,TT3_SS_24,20813,7.317300407297964,33.16652379807507,-55.94106169574265,89.10758549381771,0.5928833453048171,0.21875,-0.8634968116361703,0.53125,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_24,000395_2018-03-01_TT3_SS_24,20813, 16.726353, 4.997065, 0.732419, 0.586921, 
46,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_25,TT3_SS_25,19146,6.7316130556586895,41.95692774331053,-57.24391607503846,99.200843818349,0.7329499904987473,0.28125,-0.8930805453180346,0.28125,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_25,000395_2018-03-01_TT3_SS_25,19146, 52.322224, 27.721713, 0.816346, 1.283133, 
47,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_26,TT3_SS_26,4310,1.51604368175605,70.04893820681896,-86.97253510760768,157.02147331442666,0.8054144692936704,0.21875,-0.7986909742028736,0.4375,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_26,000395_2018-03-01_TT3_SS_26,4310, 37.993152, 15.498293, 3.261284, 0.670673, 
48,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_27,TT3_SS_27,2327,0.8182031387074078,48.19907504279264,-19.734588398010683,67.93366344080333,2.442365357245114,0.15625,-1.0,0.03125,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_27,000395_2018-03-01_TT3_SS_27,2327, 18.424290, 4.720967, 0.173115, 0.798444, 
49,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_28,TT3_SS_28,2999,1.0549105753114345,75.86200804982055,-84.78701275713388,160.6490208069544,0.8947361816735029,0.46875,-0.9897134810596712,0.28125,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_28,000395_2018-03-01_TT3_SS_28,2999, 57.908237, 25.793991, 7.736919, 1.674772, 
50,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_29,TT3_SS_29,41815,14.700950015715232,48.46727842100688,-51.80686750174361,100.27414592275049,0.9355377145583192,0.1875,-0.8376160095034197,0.28125,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_29,000395_2018-03-01_TT3_SS_29,41815, 34.149254, 17.542224, 4.348019, 2.028817, 
51,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_30,TT3_SS_30,4398,1.5463047605653608,94.33895303865765,-60.54665663518018,154.88560967383782,1.558119940578894,0.1875,-1.0,0.59375,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_30,000395_2018-03-01_TT3_SS_30,4398, 31.770351, 14.355556, 2.879748, 1.011454, 
52,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_31,TT3_SS_31,30623,10.765896334785873,37.2040556428462,-26.51620573809888,63.72026138094508,1.4030685992676115,0.6875,-1.0,0.09375,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_31,000395_2018-03-01_TT3_SS_31,30623, 18.625964, 5.821214, 0.725546, 1.006383, 
53,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_32,TT3_SS_32,5391,1.895562955123224,72.99674026493331,-86.99658498191374,159.99332524684704,0.839075927866698,0.21875,-1.0,0.0625,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_32,000395_2018-03-01_TT3_SS_32,5391, 55.122445, 28.183533, 0.898536, 0.479358, 
54,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_33,TT3_SS_33,3545,1.2466262846492655,54.30182877510754,-61.18703689089582,115.48886566600336,0.8874727644016254,0.1875,-1.0,0.40625,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_33,000395_2018-03-01_TT3_SS_33,3545, 16.235889, 5.190269, 0.713739, 0.607093, 
55,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_34,TT3_SS_34,993,0.3499931975138852,36.04686568733617,-55.63350198125251,91.6803676685887,0.6479345071515239,0.21875,-1.0,0.28125,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_34,000395_2018-03-01_TT3_SS_34,993, 14.421990, 1.556676, 0.180381, 0.245174, 
56,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_35,TT3_SS_35,12462,4.3823141868190865,42.55951243682696,-56.011380512087634,98.57089294891459,0.7598368768583081,0.25,-1.0,0.1875,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_35,000395_2018-03-01_TT3_SS_35,12462, 45.389126, 23.627059, 7.229648, 1.010899, 
57,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_36,TT3_SS_36,1059,0.3745170003840656,150.6833063415414,-54.86463262561274,205.54793896715415,2.7464561253837165,0.3125,-1.0,0.46875,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_36,000395_2018-03-01_TT3_SS_36,1059, 32.763989, 16.111088, 0.882557, 5.567488, 
58,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_37,TT3_SS_37,1095,0.3938443742837967,127.20739428397394,-61.518113435740176,188.72550771971413,2.0678038902615348,0.3125,-1.0,0.46875,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_37,000395_2018-03-01_TT3_SS_37,1095, 30.829730, 13.898714, 0.983724, 2.709847, 
59,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_38,TT3_SS_38,2371,0.8360652673945477,144.10527362046062,-57.049074639781075,201.1543482602417,2.5259879240876257,0.34375,-1.0,0.4375,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_38,000395_2018-03-01_TT3_SS_38,2371, 33.407643, 16.271998, 0.500108, 3.035399, 
60,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_39,TT3_SS_39,455,0.1902639232420973,141.25439834039773,-65.20519782186665,206.4595961622644,2.166305801667668,0.28125,-1.0,0.28125,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_39,000395_2018-03-01_TT3_SS_39,455, 27.704473, 10.488199, 1.318286, 1.193337, 
61,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_40,TT3_SS_40,2962,1.0429000931990728,82.01520130191527,-24.410208977931433,106.4254102798467,3.359872968562573,0.34375,-1.0,0.4375,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_40,000395_2018-03-01_TT3_SS_40,2962, 12.755897, 1.925788, 0.159013, 0.344536, 
62,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_41,TT3_SS_41,602,0.2119827286895735,72.35793036398834,-44.342737366606606,116.70066773059496,1.6317876311009898,0.4375,-1.0,0.125,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_41,000395_2018-03-01_TT3_SS_41,602, 15.480371, 3.506560, 0.561182, 1.057123, 
